name,interests
Kam-Kwai Wong,"Data Visualization, Human-Computer Interaction, VR/AR"
Yifan Wang,"Video & Image Segmentation, Image Processing"
Nikhil Kumar Pulipeta,"Software Engineering, Applications Engineering"
Manoj Jayntilal Kathiriya,fail
Manjunatha Sughaturu Krishnappa,"Data Architect, Oracle Database, Cloud Computing & Autonomous Databases, AI Machine Learning"
Vivekananda Jayaram,"Data Integration, VLSI Design"
Harsh Beohar,"Concurrency theory, Logic in Computer Science, Formal Methods"
"Sebastian K®πpper, M.D.",Medicine
James Hahn,"Computer Graphics, Biomedical computing, Medical applications of AI"
Elijah Pelofske,"quantum computing, quantum annealing, quantum information, cryptography, magnetism"
Hristo N. Djidjev,fail
John Tully,theory
Zachary P. Neal,"Social Networks, Network Science, Urban Studies, Childfree"
Renaud Vilmart,"Categorical Quantum Mechanics, Quantum Computing, ZX-Calculus"
Liron Cohen,"Multi-Agent Motion Planning, Heuristic Search, Robotics, Artificial Intelligence"
Danel Ahman,"Foundations of Computer Science, Semantics, Programming Languages, Type Theory, Category Theory"
Andrzej S. Murawski,fail
Bartosz Bednarczyk,"Logic in Computer Science, Automata Theory, Finite model theory, Description logics"
Takayuki Kihara,Computability Theory
Veronika Hendrychov®¢,fail
Andrea Avogaro,"Computer Science, Machine learning"
Federico Cunico,"Computer Vision, Deep Learning"
Bodo Rosenhahn,"Computer Vision, Image Processing, Machine Learning, Quantum Computing"
Francesco Setti,Elementary Particle Physics
"Wei Zhang PhD, Professor of Cancer Biology","Cancer Genomics, Precision Oncology, Cancer Signaling, Biomarkers, Mouse Models"
Jian-Wei Zhang,"AIGC, Image Generation, Few-Shot Learning"
Sergei L. Bezrukov,fail
Pavle Bulatovic,fail
Nikola Kuzmanovski,fail
Nadia Lafreni®®re,fail
Yan Zhang,"wireless networks, smart grid, edge intelligence, blockchain, digital twin"
Yili Zheng,"Performance, Programing Languages and Compilers, OS and Runtime, Parallel and Distributed Computing, High Performance Computing"
"Haiyan Huang, Professor","applied statistics, statistical genomics, translational medical research"
Yan Liu,"Rare earth, Fluorescence, complex poymler"
Zengquan Yao,fail
Arnaud Sangnier,"Formal methods, Verfication, infinite state systems"
Olivier Stietel,fail
Yingchaojie Feng,"Visual Analytics, Natural Language Processing, Human Computer Interaction"
wang luwei,
Wei Chen,"Pharmaceutical Development, Chemical Engineering, CFD, DEM Modeling"
J®¶r?me JAVELLE,"Quantum Cryptography, Graph Theory"
Khaled Salah,"Blockchain, IoT and Digital Twins, LLMs and GenAI, Cloud Computing, Cybersecurity"
Dr. Ravindra C. Thool    ;   R C Thool  ;  R Thool,"Computer Vision, Parallel Computing, Image Processing and Pattern Recognition, Cloud & Grid Computing, Networking and Security"
Daniel M Leivant,fail
Shiuh Chao,Optical Materials and Devices
K. Diawuo,fail
W. K. Ofosu,fail
Dr Emmanuel Ampoma Affum,"Array Signal Processing, Channel Modeling 5G & beyond, Wireless Communication, Multiuser Detection"
Eyal Ackerman,"Combinatorial Geometry, Computational Geometry"
Michele L. Allen MD,Community engaged health equity research
Maarten L?ffler,"Theoretical Computer Science, Algorithms, Computational Geometry"
Joshua Mermelstein,fail
Diane L. Souvaine,fail
Christine Ga?ner,fail
Randal S. Olson,"Artificial Intelligence, Evolutionary Computation, Machine Learning, Neuroevolution, Artificial Life"
Dusan Knop,"theoretic computer science, parameterized complexity"
Ahmad S. Doulat,fail
Yaser M. Khamayseh,fail
Mohammad Zaidul Karim,fail
Nargis Akter,Design of Tandem Solar Cell
Samvel Kh. Darbinyan,fail
Adda Boualem,fail
Djahida Taibi,fail
Aroua Ammar,
Hanan Alhazmi,"cloud computing, IoT, context awareness"
Nadine Akkari,"5G/6G, IoT, SDN"
Kai-Feng Chen,Experimental High Energy Physics
Emil Je?®¢bek,fail
Shaz Qadeer,"Program verification, Programming languages, Distributed systems"
raffaella gentilini,
Timo Jolivet,fail
Assal®¶ ADJE,
Lakshmi Narayanan Ramasubramanian,"Diamond thin films, NV centers"
Srinivasa Vittal Katikireddi,"Public health, Health inequalities, Social determinants of health, Welfare policy, Social epidemiology"
N. Ammasai Gounden,fail
Colin Riba,fail
Dr. Kishorjit Nongmeikapam,"Natural Language Processing, Image Processing, Computer Vision, Soft Computing"
Sivaji Bandyopadhyay,"Machine Learning, Natural Language Processing"
David A. Hood,"Mitochondria, muscle, exercise, gene expression, mitophagy"
Syed Shawon Rahman,fail
Mohamed Ibrahim Khalil,FMM
Ayad M. Salhieh,fail
Shams Forruque Ahmed (S.F. Ahmed),"Fluid Dynamics, Energy & Environment, AI"
Magdy Z. Rashad,
Omaima Nomir,image processing
R. M. El-Awady,fail
Vikas J Dongre,fail
Vijay H Mankar,"Digital Watermarking, Image Processing, Character Recognition"
G. Victo Sudha George,fail
Dr V. Cyril Raj,computer science and security
said LEGHMIZI,contr?le des syst®®mes stabilis®¶s
Jean-Fran?°Ïois Raskin,fail
Jan Foniok,Discrete Mathematics
Gianfranco Bilardi,"Theory of Computing, Algorithms, Architectures, High Performance Computing"
Francesco Versaci,"Parallel computing, Big data, Memory hierarchies"
Aslan Askarov,"Programming Languages, Computer Security"
Andrew C. Myers,"Programming Languages, Security, Systems"
Jyotirmoy V. Deshmukh,"Cyberphysical systems, Formal/Statistical Verification, Temporal logic, AI safety, Reinforcement learning"
Ganesan Ramalingam,Programming Languages
Bernhard Reus,"Semantics, Type Theory, Domain Theory, Program Verification, Immunology"
Aravinda  Prasad Sistla,"Formal Methods, Model checking, Verification of Concurrent Systems, Security, Database Systems"
Mahesh R. Dube,fail
Shantanu K. Dixit,fail
Steve Awodey,
Florian Rabe,
F®¶lix Weis,
Stefan G?ller,fail
Sheng Liu,MEMS/LED Packaging
Chaiwat Jassadapakorn,fail
Prabhas Chongstitvatana,"Quantum Computing, Artificial Intelligence, Computer architecture, Evolutionary computation"
Filip Mari?,
Alessandro Chiesa,"Cryptography, Complexity Theory, Security"
Michael A. Forbes,fail
Vassilis Gregoriades,
Niclas Sven Mueller,"Nano Optics, Polaritons, Nonlinear Microscopy, 2D Materials, IR"
Abdelkrim BOURAMOUL,"IA for Medical Diagnosis, Virtual Reality for Healthcare, NLP & Applications, Opinion Mining"
Mohamed-khireddine Kholladi,"Informatique, SIG, Base de connaissances, syst®®mes complexes, IOT"
Bich-Li®∫n DOAN,"Information Retrieval, Semantic Web, Quantum Information"
lei song,"auditory, outer hair cell, development, electromotility, Mitochondria"
Jens Chr. Godskesen,
Venkatesh-Prasad Ranganath,"Software Engineering, Security, Systems"
Kapil Vaswani,"security, privacy, trusted computing"
Samuele Giraudo,"Algebraic combinatorics, Enumerative combinatorics, Operads, Bialgebras, Term rewrite systems"
Chung-Kil Hur,"Programming Languages, Software Verification"
Sotirios Kentros,"Computer Science Education, Distributed Computing, Computer Security, Cryptography, Cyber-Physical Systems"
Aggelos Kiayias,"Cryptography, Security"
Kira Vyatkina,fail
Wojciech Kazana,fail
Nazanin Roshandel Tavana,"Model theory, fuzzy set theory, computable analysis, computability theory"
Henri Binsztok,fail
Corina Cirstea,"Coalgebra, Logic, Verification, Formal Methods"
Matthew R. Lakin,fail
Paul Brodhead,fail
ferit toska,Computability Theory
Sebastian Wyman,fail
Riza Sulaiman,"Visualization, Automation."
Mohammad Khatim Hasan,numerical and parallel computing
Abdul Yazid Mohd Kassim,fail
Daniel Paulusma,Algorithmic Graph Theory
Fr®¶d®¶ric Herbreteau,"Formal Methods, Logic, Automata, Model-checking"
Thomas Braibant,fail
Matthew T. Dickerson,fail
David Hodorkovsky,fail
Marco Gaboardi,"Programming Languages, Type Systems, Differential Privacy, Linear Logic"
Linda Postniece,fail
Wesley Calvert,Logic
Ken Kramer,fail
Nicola Olivetti,fail
Azrulhizam Shapi'i,fail
Amal Ahmed,Programming Languages
Sebastian Rudolph,"Computational Logic, Knowledge Representation and Reasoning, Semantic Web, Database Theory, FCA"
Antonio Vetr®∞,"Experimental software engineering, Responsible software systems design, Software and Data quality"
Dimitris Vardoulakis,Philosophy
Olin Shivers,Computer Science
JOHN CARLOS AREVALO MARTIN,"Ingenieria, tecnologia, inteligencia IA"
Cem Say,Theoretical Computer Science
Stefan Szeider,"Algorithms, Complexity, Satisfiability, Parameterized Complexity"
Renate A Schmidt,"Automated Reasoning, Knowledge Engineering, Artificial Intelligence"
Dmitry Tishkovsky,"Non-classical logics, Proof theory, Automated Reasoning, Formal Methods"
Tomas Brazdil,"Stochastic systems, algorithmic game theory, machine learning"
V®¢clav Bro?ek,fail
Federico Mazzoni,"Human-Computer Interaction, Large Language Models, Model Uncertainty"
Vojt®ßch Forejt,verification
Anton®™n Ku?era,"computability, logic"
alessio malizia,"UX, HCI, HCI4AI"
Wojciech Fraczek,fail
Prof. Wojciech Mazurczyk,"Network Security, Information Hiding, Bio-inspired Cybersecurity"
Krzysztof Szczypiorski,"Cybersecurity, Steganography, Anomaly Detection, AI for Healthcare"
Nizo Jaman Shohan,fail
Tobias Heindel,"Quantum Technologies, Quantum Information, Solid-State Quantum Emitters, Quantum Optics, Quantum Light Sources"
Miguel Alexandre Lopes Marques,"Density Functional Theory, Materials Science, Machine Learning"
Gazi Tanbhir,fail
Faria Elahi,fail
viet69la,
Stephen A. Cook,fail
Ullah Akm Ahsan,"Globalization, migration, refugee, HIV/AIDS, development and Poverty"
Arne Meier,"AI, Complexity Theory, Logic in Computer Science, Parameterized Complexity, Enumeration"
Dr. Md. Nazmus Sakib,Child Psychology
MICHAEL R Sperling,Epilepsy
Kanadam Karteeka Pavan,"Machine Learning, Bioinformatics"
Derek Dreyer,"Programming languages, type systems, semantics, verification"
Julien Cartigny,"Security, Hypervisor"
Stephen A Cook,fail
Lila A Fontes,fail
Kojiro Higuchi,Mathematical Logic
Allam Appa Rao,"Cyber Security, Information Security, Computational Biology, Bioinformatics, Economics of Information Technology"
Desharnais Jules,fail
PD Dr. phil. Bernhard W. M®πller,"Clinical Psychology, Cognitive Neuroscience"
Abuzer Yakaryilmaz,Quantum computation
A V DATTATREYA Rao,"statistics, cluster analysis and classification"
Dr. sridhar kulkarni,"convective instability, convective flow and heat transfer"
Miguel Pagano,"Type Theory, Functional Programming, Formal Methods"
Alexis Bes,fail
Marcin Kozik,"Universal Algebra, Constraint Satisfaction Problem"
Jean-Marc Fedou,Combinatorics
Lo?c Colson,fail
Vincent Demange,fail
Mark Kaminski,"Logic in Computer Science, Artificial Intelligence, Knowledge Representation, Automated Reasoning, Information Systems"
Sigurd Schneider,"Computer Science, Compiler Verification, Compiler Construction"
K S Kuppusamy,"Web Information Retrieval, Accessibility Computing, Mobile Computing"
Peter Bubenik,"Applied Topology, Topological Data Analysis"
matthew hennessy,Trinity College Dublin
Senthil Raja Jayapal,
Ori Lahav,"Water Chemistry, Water Treatment, aquatic chemistry"
Aghila Gnanasekaran; Gnanasekaran Aghila; G Aghila; Aghila G,"Ontology Engineering, ChemInformatics, Intelligent Information Management"
Tingting Han (∫´Õ£Õ££©,"PEC water splitting, Conductive AFM, Liquid electrolyte, Dielectric, Memristor"
Stephan Kreutzer,"Logic, Graph Theory, Complexity Theory, Database Theory"
Alexandru Mereacre,
Vivek Kumar Rangarajan Sridhar,"Speech-to-speech translation, Spoken Language Understanding, Speech Recognition, Prosody Modeling"
Magnus  j Johansson,
B. Panlal,fail
Bj??rn Victor,fail
Volodymyr Y. Kondratenko,fail
Thi Thieu Hoa Le,fail
Roberto Sebastiani,"SMT, SAT, Formal Verification, Automated Reasoning, Artificial Intelligence"
Hongyang Chao,"Image processing, Video compression"
He Yuxiong,"LLM Systems and Algorithms, Deep Learning, Parallel and Distributed Systems"
Hsu Wen Jing,"Computer Science, Parallel Processing, Interconnection Networks, Algorithms, Scheduling"
Fan-Rui Meng,"Watershed Management, hydrology, forestry"
Minjeong Kim,"Consumer decision-making, consumer neuroscience, digital commerce"
Sevim Cengiz,"Medical Imaging, Artificial Intelligence"
Georg Struth,"Algebraic and Logical Methods in Computer Science, Concurrency Theory, Interactive Theorem Proving, Program Correctness"
St®¶phane Jean Eric Lengrand,fail
Roy Dyckhoff,"Computational logic, category theory, proof theory"
James J. McKenna,"bedsharing, infant co-sleeping, breastfeeding"
Alasdair Kenneth Mackenzie,"structural biology, protein biochemistry, plant physiology"
Gilda Aparecida Ferreira,"Medicina, Reumatologia, Infec??o no paciente imunossuprimido, Systemic Vasculitis"
Glaucius Oliva,"structural biology, medicinal chemistry"
Salman Khan,"Computer Vision, Machine Learning, Deep Learning, Generative AI"
Hamdy Ibrahim,"Biomaterials, Biodegradable Composites, Shape Memory Alloys, Additive Manufacturing"
William Lovas,fail
Muhammad Yaqoob Baloch,HPWS
neeraj kumar singh,Cancer Research and Immunetherapy
Mita Pal,fail
Mark Espeland,"biostatistics, cognitive impairment, aging, diabetes, clinical trials"
Elmar B??hler,fail
Nadia Creignou,fail
Matthew J. Parkinson,"Programming Language, Verification, Semantics"
Alexander J. Summers,"Software Verification, Programming Languages, Type Systems, SMT Solving, Static Analysis"
Xin Liu,"Bioinformatics, Agriculture, Plant, Genomics"
Tsuyoshi Murata,"Artificial Intelligence, Network Science, Graph Neural Networks, Machine Learning, Social Network Analysis"
Coenraad Mouton,"Machine Learning, Deep Neural Networks, Computer Vision"
Zhipeng Ma,"Energy Storage & Conversion, Batteries, Supercapacitors"
Tingying (Helen) Zeng,nanomaterials for energy and electronics
Zheng Grace Ma,"Big Data, AI, Digital Twin for Energy Ecosystem"
Jasni Mohamad Zain,"Data Security, Digital watermarking, Data Mining, Image processing"
Abdul Rahman Embong,"Development, Middle class, Globalization."
Hans H Zantema,fail
Sheila Vipul Patel,"mental health and substance use disorders, harm reduction, implementation science"
Dr. RADHIKA K R,Biometrics
Md. Hasan Tarek  Mondal,"Drying, Heat and mass transfer, Energy analysis, Food engineering, Hybrid protein"
Bj?rn Kjos-Hanssen,"Computability, Automata, Modal logic, Proof assistants"
Arifa Akter,"Financial Reporting, Auditing, Corporate Governance"
Mohammad Nazmush Shamael,"Algorithms, Machine Learning, Deep Learning, Natural Language Processing, Reinforcement Learning"
